Heading tag changes,,,
Page url,Heading ,Wrong heading,Correct heading 
https://network-consultancy.com/,"H3,""Network infrastructure that supports secure growth""",H3,H2
,"H4,""Industries""",H4,H2
,"H4,""Services""",H4,H2
,"H4,""Solutions""",H4,H2
,"H4,""Resources""",H4,H2
,,,
https://network-consultancy.com/services,Heading ,Wrong heading,Correct heading 
,"H4,""Industries""",H4,H2
,"H4,""Services""",H4,H2
,"H4,""Solutions""",H4,H2
,"H4,""Resources""",H4,H2
,,,
https://network-consultancy.com/services/network-consultancy,Heading ,Wrong heading,Correct heading 
,"H4,""Industries""",H4,H2
,"H4,""Services""",H4,H2
,"H4,""Solutions""",H4,H2
,"H4,""Resources""",H4,H2
,,,
https://network-consultancy.com/services/network-design-and-deployment,Heading ,Wrong heading,Correct heading 
,"H4,""Industries""",H4,H2
,"H4,""Services""",H4,H2
,"H4,""Solutions""",H4,H2
,"H4,""Resources""",H4,H2
,,,
https://network-consultancy.com/services/network-installations,Heading ,Wrong heading,Correct heading 
,"H4,""Industries""",H4,H2
,"H4,""Services""",H4,H2
,"H4,""Solutions""",H4,H2
,"H4,""Resources""",H4,H2
,,,
https://network-consultancy.com/services/network-support,Heading ,Wrong heading,Correct heading 
,"H4,""Industries""",H4,H2
,"H4,""Services""",H4,H2
,"H4,""Solutions""",H4,H2
,"H4,""Resources""",H4,H2
,,,
https://network-consultancy.com/services/managed-network-support,Heading ,Wrong heading,Correct heading 
,"H4,""Industries""",H4,H2
,"H4,""Services""",H4,H2
,"H4,""Solutions""",H4,H2
,"H4,""Resources""",H4,H2
,,,
https://network-consultancy.com/services/managed-wireless-lan,Heading ,Wrong heading,Correct heading 
,"H4,""Industries""",H4,H2
,"H4,""Services""",H4,H2
,"H4,""Solutions""",H4,H2
,"H4,""Resources""",H4,H2
,,,
https://network-consultancy.com/services/firewall-and-network-security,Heading ,Wrong heading,Correct heading 
,"H4,""Industries""",H4,H2
,"H4,""Services""",H4,H2
,"H4,""Solutions""",H4,H2
,"H4,""Resources""",H4,H2
,,,
https://network-consultancy.com/services/remote-working-solutions,Heading ,Wrong heading,Correct heading 
,"H4,""Industries""",H4,H2
,"H4,""Services""",H4,H2
,"H4,""Solutions""",H4,H2
,"H4,""Resources""",H4,H2
,,,
https://network-consultancy.com/services/business-continuity-and-network-resilience,Heading ,Wrong heading,Correct heading 
,"H4,""Industries""",H4,H2
,"H4,""Services""",H4,H2
,"H4,""Solutions""",H4,H2
,"H4,""Resources""",H4,H2
,The Results for Your Business,H2 ,h3
,,,
https://network-consultancy.com/solutions,Heading ,Wrong heading,Correct heading 
,"H4,""Industries""",H4,H2
,"H4,""Services""",H4,H2
,"H4,""Solutions""",H4,H2
,"H4,""Resources""",H4,H2
,,,
https://network-consultancy.com/solutions/network-health-check,Heading ,Wrong heading,Correct heading 
,"H4,""Industries""",H4,H2
,"H4,""Services""",H4,H2
,"H4,""Solutions""",H4,H2
,"H4,""Resources""",H4,H2
,,,
https://network-consultancy.com/solutions/ai-ready-infrastructure-review,Heading ,Wrong heading,Correct heading 
,Connection Speed (Bandwidth),H2,H3
,"H4,""Industries""",H4,H2
,"H4,""Services""",H4,H2
,"H4,""Solutions""",H4,H2
,"H4,""Resources""",H4,H2
,,,
https://network-consultancy.com/solutions/cyber-security-review,Heading ,Wrong heading,Correct heading 
,"H4,""Industries""",H4,H2
,"H4,""Services""",H4,H2
,"H4,""Solutions""",H4,H2
,"H4,""Resources""",H4,H2
,Security Controls Review,H2,H3
,,,
https://network-consultancy.com/solutions/microsoft-365-and-network-readiness,Heading ,Wrong heading,Correct heading 
,Infrastructure Workload Support,H2,H3
,"H4,""Industries""",H4,H2
,"H4,""Services""",H4,H2
,"H4,""Solutions""",H4,H2
,"H4,""Resources""",H4,H2
,,,
https://network-consultancy.com/industries,Heading ,Wrong heading,Correct heading 
,,,
,"H4,""Industries""",H4,H2
,"H4,""Services""",H4,H2
,"H4,""Solutions""",H4,H2
,"H4,""Resources""",H4,H2
,,,
https://network-consultancy.com/industries/financial-services,Heading ,Wrong heading,Correct heading 
,"H4,""Industries""",H4,H2
,"H4,""Services""",H4,H2
,"H4,""Solutions""",H4,H2
,"H4,""Resources""",H4,H2
,,,
https://network-consultancy.com/industries/healthcare-and-clinics,Heading ,Wrong heading,Correct heading 
,"H4,""Industries""",H4,H2
,"H4,""Services""",H4,H2
,"H4,""Solutions""",H4,H2
,"H4,""Resources""",H4,H2
,,,
https://network-consultancy.com/industries/charity,Heading ,Wrong heading,Correct heading 
,,,
,"H4,""Industries""",H4,H2
,"H4,""Services""",H4,H2
,"H4,""Solutions""",H4,H2
,"H4,""Resources""",H4,H2
,,,
https://network-consultancy.com/industries/legal-firms,Heading ,Wrong heading,Correct heading 
,,,
,"H4,""Industries""",H4,H2
,"H4,""Services""",H4,H2
,"H4,""Solutions""",H4,H2
,"H4,""Resources""",H4,H2
,,,
https://network-consultancy.com/industries/manufacturing,Heading ,Wrong heading,Correct heading 
,"H4,""Industries""",H4,H2
,"H4,""Services""",H4,H2
,"H4,""Solutions""",H4,H2
,"H4,""Resources""",H4,H2
,,,
https://network-consultancy.com/industries/multi-site-businesses,Heading ,Wrong heading,Correct heading 
,"H4,""Industries""",H4,H2
,"H4,""Services""",H4,H2
,"H4,""Solutions""",H4,H2
,"H4,""Resources""",H4,H2
,,,
